season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,home_advantage,p_home,result,elo_home_post,elo_away_post
1999,1,REG,ATL,MIN,1500.0,1500.0,42.2,0.5604,0,1488.7913,1511.2087
1999,1,REG,CHI,KC,1500.0,1500.0,42.2,0.5604,1,1508.7913,1491.2087
1999,1,REG,CLE,PIT,1500.0,1500.0,42.2,0.5604,0,1488.7913,1511.2087
1999,1,REG,GB,LV,1500.0,1500.0,42.2,0.5604,1,1508.7913,1491.2087
1999,1,REG,IND,BUF,1500.0,1500.0,42.2,0.5604,1,1508.7913,1491.2087
1999,1,REG,JAX,SF,1500.0,1500.0,42.2,0.5604,1,1508.7913,1491.2087
1999,1,REG,NO,CAR,1500.0,1500.0,42.2,0.5604,1,1508.7913,1491.2087
1999,1,REG,NYJ,NE,1500.0,1500.0,42.2,0.5604,0,1488.7913,1511.2087
1999,1,REG,PHI,ARI,1500.0,1500.0,42.2,0.5604,0,1488.7913,1511.2087
1999,1,REG,SEA,DET,1500.0,1500.0,42.2,0.5604,0,1488.7913,1511.2087
1999,1,REG,LA,BAL,1500.0,1500.0,42.2,0.5604,1,1508.7913,1491.2087
1999,1,REG,TB,NYG,1500.0,1500.0,42.2,0.5604,0,1488.7913,1511.2087
1999,1,REG,TEN,CIN,1500.0,1500.0,42.2,0.5604,1,1508.7913,1491.2087
1999,1,REG,WAS,DAL,1500.0,1500.0,42.2,0.5604,0,1488.7913,1511.2087
1999,1,REG,DEN,MIA,1500.0,1500.0,42.2,0.5604,0,1488.7913,1511.2087
1999,2,REG,BAL,PIT,1491.2087,1511.2087,42.2,0.5319,0,1480.5706,1521.8468
1999,2,REG,BUF,NYJ,1491.2087,1488.7913,42.2,0.5639,1,1499.9315,1480.0685
1999,2,REG,CAR,JAX,1491.2087,1508.7913,42.2,0.5354,0,1480.5013,1519.4987
1999,2,REG,CHI,SEA,1508.7913,1488.7913,42.2,0.5886,0,1497.0199,1500.5627
1999,2,REG,CIN,LAC,1491.2087,1500.0,42.2,0.5479,0,1480.2501,1510.9586
1999,2,REG,DET,GB,1511.2087,1508.7913,42.2,0.5639,1,1519.9315,1500.0685
1999,2,REG,KC,DEN,1491.2087,1488.7913,42.2,0.5639,1,1499.9315,1480.0685
1999,2,REG,MIA,ARI,1511.2087,1511.2087,42.2,0.5604,1,1520.0,1502.4174
1999,2,REG,MIN,LV,1511.2087,1491.2087,42.2,0.5886,0,1499.4373,1502.9801
1999,2,REG,NE,IND,1511.2087,1508.7913,42.2,0.5639,1,1519.9315,1500.0685
1999,2,REG,NYG,WAS,1511.2087,1488.7913,42.2,0.5919,0,1499.37,1500.63
1999,2,REG,PHI,TB,1488.7913,1488.7913,42.2,0.5604,0,1477.5826,1500.0
1999,2,REG,SF,NO,1491.2087,1508.7913,42.2,0.5354,1,1500.5013,1499.4987
1999,2,REG,TEN,CLE,1508.7913,1488.7913,42.2,0.5886,1,1517.0199,1480.5627
1999,2,REG,DAL,ATL,1511.2087,1488.7913,42.2,0.5919,1,1519.37,1480.63
1999,3,REG,BAL,CLE,1480.5706,1480.5627,42.2,0.5604,1,1489.3617,1471.7716
1999,3,REG,BUF,PHI,1499.9315,1477.5826,42.2,0.5918,1,1508.0947,1469.4194
1999,3,REG,CAR,CIN,1480.5013,1480.2501,42.2,0.5608,1,1489.2855,1471.4659
1999,3,REG,GB,MIN,1500.0685,1499.4373,42.2,0.5613,1,1508.8419,1490.6639
1999,3,REG,JAX,TEN,1519.4987,1517.0199,42.2,0.5639,0,1508.2198,1528.2988
1999,3,REG,KC,DET,1499.9315,1519.9315,42.2,0.5319,1,1509.2934,1510.5696
1999,3,REG,NE,NYG,1519.9315,1499.37,42.2,0.5894,1,1528.1445,1491.157
1999,3,REG,NYJ,WAS,1480.0685,1500.63,42.2,0.5311,0,1469.4465,1511.252
