season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,home_rest,away_rest,div_game,home_team_win,elo_diff,week_norm,sample_weight
1999,4,REG,MIN,TB,1480.331,1515.3695,7,7,1,1,7.16149999999989,0.19047619047619047,1.0
1999,4,REG,NYG,PHI,1482.2755,1440.0583,7,7,1,1,84.41720000000005,0.19047619047619047,1.0
1999,4,REG,PIT,JAX,1517.8813,1515.2842,7,7,1,0,44.79709999999996,0.19047619047619047,1.0
1999,4,REG,LAC,KC,1497.8084,1519.5997,7,7,1,1,20.40869999999991,0.19047619047619047,1.0
1999,4,REG,SEA,LV,1526.8908,1523.8486,7,7,1,1,45.24219999999987,0.19047619047619047,1.0
1999,4,REG,SF,TEN,1524.5898,1555.6404,6,7,0,1,11.149399999999972,0.19047619047619047,1.0
1999,4,REG,WAS,CAR,1522.4895,1479.5379,7,7,0,1,85.15159999999987,0.19047619047619047,1.0
1999,4,REG,MIA,BUF,1540.0,1514.8332,15,8,1,0,67.36679999999997,0.19047619047619047,1.0
1999,5,REG,ARI,NYG,1467.7247,1497.5095,7,7,1,1,12.415200000000098,0.23809523809523808,1.0
1999,5,REG,BUF,PIT,1538.6633,1495.3168,6,7,0,1,85.54649999999988,0.23809523809523808,1.0
1999,5,REG,CLE,CIN,1428.5203,1426.1352,7,7,1,0,44.58509999999997,0.23809523809523808,1.0
1999,5,REG,DET,LAC,1519.8529,1516.6349,14,7,0,0,45.41800000000008,0.23809523809523808,1.0
1999,5,REG,GB,TB,1517.7146,1495.7817,14,7,1,1,64.13290000000002,0.23809523809523808,1.0
1999,5,REG,IND,MIA,1523.88,1516.1699,14,6,1,0,49.910100000000014,0.23809523809523808,1.0
1999,5,REG,KC,NE,1500.7732,1571.089,7,7,0,1,-28.11579999999985,0.23809523809523808,1.0
1999,5,REG,MIN,CHI,1499.9188,1494.9805,7,7,1,0,47.13830000000003,0.23809523809523808,1.0
1999,5,REG,NO,ATL,1479.1584,1427.3576,7,7,1,0,94.00079999999998,0.23809523809523808,1.0
1999,5,REG,LV,DEN,1506.4383,1422.2247,7,7,1,0,126.41360000000005,0.23809523809523808,1.0
1999,5,REG,PHI,DAL,1424.8243,1552.0423,7,7,1,1,-85.01800000000007,0.23809523809523808,1.0
1999,5,REG,LA,SF,1549.4661,1543.9482,7,7,1,1,47.71790000000006,0.23809523809523808,1.0
1999,5,REG,TEN,BAL,1536.282,1500.4614,7,7,1,1,78.02060000000002,0.23809523809523808,1.0
1999,5,REG,NYJ,JAX,1462.9542,1537.8487,8,8,0,0,-32.694500000000104,0.23809523809523808,1.0
1999,6,REG,ARI,WAS,1487.0103,1537.6836,7,14,1,0,-8.473300000000151,0.2857142857142857,1.0
1999,6,REG,ATL,LA,1452.6404,1566.7364,7,7,1,0,-71.896,0.2857142857142857,1.0
1999,6,REG,BUF,LV,1553.836,1479.4663,7,7,0,0,116.56969999999997,0.2857142857142857,1.0
1999,6,REG,CHI,PHI,1517.6775,1449.6229,7,7,0,0,110.25459999999994,0.2857142857142857,1.0
1999,6,REG,CIN,PIT,1448.6877,1480.1441,7,7,1,0,10.743599999999972,0.2857142857142857,1.0
