season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,8,REG,GB,CAR,1519.13,1457.76,0.6448,0.3552,False,,,,1519.13,1457.76
2026,8,REG,BUF,BAL,1579.0,1518.16,0.6441,0.3559,False,,,,1579.0,1518.16
2026,8,REG,CIN,TEN,1467.06,1391.9,0.6628,0.3372,False,,,,1467.06,1391.9
2026,8,REG,DAL,ARI,1474.77,1398.83,0.6638,0.3362,False,,,,1474.77,1398.83
2026,8,REG,DET,MIN,1543.71,1544.87,0.5588,0.4412,False,,,,1543.71,1544.87
2026,8,REG,JAX,IND,1545.27,1472.33,0.6599,0.3401,False,,,,1545.27,1472.33
2026,8,REG,NYJ,LV,1401.98,1390.38,0.5768,0.4232,False,,,,1401.98,1390.38
2026,8,REG,PIT,CLE,1521.57,1437.71,0.6739,0.3261,False,,,,1521.57,1437.71
2026,8,REG,TB,ATL,1476.89,1493.61,0.5366,0.4634,False,,,,1476.89,1493.61
2026,8,REG,LA,LAC,1577.37,1533.59,0.6213,0.3787,False,,,,1577.37,1533.59
2026,8,REG,DEN,KC,1594.74,1481.27,0.7101,0.2899,False,,,,1594.74,1481.27
2026,8,REG,MIA,NE,1474.73,1592.82,0.3925,0.6075,False,,,,1474.73,1592.82
2026,8,REG,WAS,PHI,1466.83,1556.38,0.4323,0.5677,False,,,,1466.83,1556.38
2026,8,REG,SEA,CHI,1643.35,1531.36,0.7084,0.2916,False,,,,1643.35,1531.36
