season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,16,REG,PHI,HOU,1569.14,1559.09,0.5746,0.4254,False,,,,1569.14,1559.09
2026,16,REG,CHI,GB,1549.55,1503.0,0.625,0.375,False,,,,1549.55,1503.0
2026,16,REG,DEN,BUF,1570.69,1601.57,0.5163,0.4837,False,,,,1570.69,1601.57
2026,16,REG,SEA,LA,1658.13,1553.93,0.699,0.301,False,,,,1658.13,1553.93
2026,16,REG,ATL,TB,1477.6,1458.75,0.587,0.413,False,,,,1477.6,1458.75
2026,16,REG,BAL,CLE,1537.95,1425.83,0.7086,0.2914,False,,,,1537.95,1425.83
2026,16,REG,IND,CIN,1452.54,1485.21,0.5137,0.4863,False,,,,1452.54,1485.21
2026,16,REG,MIA,LAC,1452.32,1504.2,0.4861,0.5139,False,,,,1452.32,1504.2
2026,16,REG,MIN,WAS,1561.0,1454.07,0.7023,0.2977,False,,,,1561.0,1454.07
2026,16,REG,NO,ARI,1439.0,1428.22,0.5757,0.4243,False,,,,1439.0,1428.22
2026,16,REG,NYJ,NE,1423.83,1578.03,0.3442,0.6558,False,,,,1423.83,1578.03
2026,16,REG,PIT,CAR,1537.59,1439.56,0.6915,0.3085,False,,,,1537.59,1439.56
2026,16,REG,LV,TEN,1412.79,1370.06,0.6199,0.3801,False,,,,1412.79,1370.06
2026,16,REG,KC,SF,1505.32,1582.67,0.4496,0.5504,False,,,,1505.32,1582.67
2026,16,REG,DAL,JAX,1454.01,1557.14,0.4132,0.5868,False,,,,1454.01,1557.14
2026,16,REG,DET,NYG,1556.34,1440.1,0.7134,0.2866,False,,,,1556.34,1440.1
