season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,14,REG,NE,MIN,1578.03,1561.0,0.5844,0.4156,False,,,,1578.03,1561.0
2026,14,REG,BAL,TB,1537.95,1458.75,0.6679,0.3321,False,,,,1537.95,1458.75
2026,14,REG,CAR,NO,1439.56,1439.0,0.5612,0.4388,False,,,,1439.56,1439.0
2026,14,REG,CLE,ATL,1425.83,1477.6,0.4862,0.5138,False,,,,1425.83,1477.6
2026,14,REG,DET,TEN,1556.34,1370.06,0.7884,0.2116,False,,,,1556.34,1370.06
2026,14,REG,MIA,CHI,1452.32,1549.55,0.4215,0.5785,False,,,,1452.32,1549.55
2026,14,REG,NYJ,DEN,1423.83,1570.69,0.3538,0.6462,False,,,,1423.83,1570.69
2026,14,REG,PHI,IND,1569.14,1452.54,0.7138,0.2862,False,,,,1569.14,1452.54
2026,14,REG,WAS,HOU,1454.07,1559.09,0.4106,0.5894,False,,,,1454.07,1559.09
2026,14,REG,LV,LAC,1412.79,1504.2,0.4297,0.5703,False,,,,1412.79,1504.2
2026,14,REG,CIN,KC,1485.21,1505.32,0.5317,0.4683,False,,,,1485.21,1505.32
2026,14,REG,SEA,NYG,1658.13,1440.1,0.8173,0.1827,False,,,,1658.13,1440.1
2026,14,REG,SF,LA,1582.67,1553.93,0.6007,0.3993,False,,,,1582.67,1553.93
2026,14,REG,GB,BUF,1503.0,1601.57,0.4196,0.5804,False,,,,1503.0,1601.57
2026,14,REG,JAX,PIT,1557.14,1537.59,0.5879,0.4121,False,,,,1557.14,1537.59
