season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,12,REG,LA,GB,1553.93,1503.0,0.6309,0.3691,False,,,,1553.93,1503.0
2026,12,REG,DET,CHI,1556.34,1549.55,0.57,0.43,False,,,,1556.34,1549.55
2026,12,REG,DAL,PHI,1454.01,1569.14,0.3966,0.6034,False,,,,1454.01,1569.14
2026,12,REG,BUF,KC,1601.57,1505.32,0.6893,0.3107,False,,,,1601.57,1505.32
2026,12,REG,PIT,DEN,1537.59,1570.69,0.5131,0.4869,False,,,,1537.59,1570.69
2026,12,REG,CIN,NO,1485.21,1439.0,0.6246,0.3754,False,,,,1485.21,1439.0
2026,12,REG,CLE,LV,1425.83,1412.79,0.5788,0.4212,False,,,,1425.83,1412.79
2026,12,REG,HOU,BAL,1559.09,1537.95,0.5901,0.4099,False,,,,1559.09,1537.95
2026,12,REG,IND,NYG,1452.54,1440.1,0.578,0.422,False,,,,1452.54,1440.1
2026,12,REG,MIA,NYJ,1452.32,1423.83,0.6004,0.3996,False,,,,1452.32,1423.83
2026,12,REG,MIN,ATL,1561.0,1477.6,0.6733,0.3267,False,,,,1561.0,1477.6
2026,12,REG,JAX,TEN,1557.14,1370.06,0.7892,0.2108,False,,,,1557.14,1370.06
2026,12,REG,ARI,WAS,1428.22,1454.07,0.5235,0.4765,False,,,,1428.22,1454.07
2026,12,REG,SF,SEA,1582.67,1658.13,0.4523,0.5477,False,,,,1582.67,1658.13
2026,12,REG,LAC,NE,1504.2,1578.03,0.4546,0.5454,False,,,,1504.2,1578.03
2026,12,REG,TB,CAR,1458.75,1439.56,0.5874,0.4126,False,,,,1458.75,1439.56
