season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,4,REG,CLE,PIT,1437.71,1521.57,0.4403,0.5597,False,,,,1437.71,1521.57
2026,4,REG,WAS,IND,1466.83,1472.33,0.5526,0.4474,False,,,,1466.83,1472.33
2026,4,REG,BAL,TEN,1518.16,1391.9,0.7251,0.2749,False,,,,1518.16,1391.9
2026,4,REG,BUF,NE,1579.0,1592.82,0.5408,0.4592,False,,,,1579.0,1592.82
2026,4,REG,CHI,NYJ,1531.36,1401.98,0.7286,0.2714,False,,,,1531.36,1401.98
2026,4,REG,CIN,JAX,1467.06,1545.27,0.4484,0.5516,False,,,,1467.06,1545.27
2026,4,REG,HOU,DAL,1581.66,1474.77,0.7023,0.2977,False,,,,1581.66,1474.77
2026,4,REG,NYG,ARI,1419.34,1398.83,0.5893,0.4107,False,,,,1419.34,1398.83
2026,4,REG,PHI,LA,1556.38,1577.37,0.5305,0.4695,False,,,,1556.38,1577.37
2026,4,REG,TB,GB,1476.89,1519.13,0.4999,0.5001,False,,,,1476.89,1519.13
2026,4,REG,MIN,MIA,1544.87,1474.73,0.6563,0.3437,False,,,,1544.87,1474.73
2026,4,REG,LV,KC,1390.38,1481.27,0.4304,0.5696,False,,,,1390.38,1481.27
2026,4,REG,SEA,LAC,1643.35,1533.59,0.7057,0.2943,False,,,,1643.35,1533.59
2026,4,REG,SF,DEN,1559.23,1594.74,0.5096,0.4904,False,,,,1559.23,1594.74
2026,4,REG,CAR,DET,1457.76,1543.71,0.4374,0.5626,False,,,,1457.76,1543.71
2026,4,REG,NO,ATL,1451.63,1493.61,0.5003,0.4997,False,,,,1451.63,1493.61
