season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,3,REG,GB,ATL,1519.13,1493.61,0.5962,0.4038,False,,,,1519.13,1493.61
2026,3,REG,BUF,LAC,1579.0,1533.59,0.6235,0.3765,False,,,,1579.0,1533.59
2026,3,REG,CLE,CAR,1437.71,1457.76,0.5318,0.4682,False,,,,1437.71,1457.76
2026,3,REG,DET,NYJ,1543.71,1401.98,0.7425,0.2575,False,,,,1543.71,1401.98
2026,3,REG,IND,HOU,1472.33,1581.66,0.4046,0.5954,False,,,,1472.33,1581.66
2026,3,REG,JAX,NE,1545.27,1592.82,0.4923,0.5077,False,,,,1545.27,1592.82
2026,3,REG,MIA,KC,1474.73,1481.27,0.5511,0.4489,False,,,,1474.73,1481.27
2026,3,REG,NYG,TEN,1419.34,1391.9,0.5989,0.4011,False,,,,1419.34,1391.9
2026,3,REG,PIT,CIN,1521.57,1467.06,0.6357,0.3643,False,,,,1521.57,1467.06
2026,3,REG,WAS,SEA,1466.83,1643.35,0.3158,0.6842,False,,,,1466.83,1643.35
2026,3,REG,SF,ARI,1559.23,1398.83,0.7625,0.2375,False,,,,1559.23,1398.83
2026,3,REG,TB,MIN,1476.89,1544.87,0.463,0.537,False,,,,1476.89,1544.87
2026,3,REG,DAL,BAL,1474.77,1518.16,0.4983,0.5017,False,,,,1474.77,1518.16
2026,3,REG,NO,LV,1451.63,1390.38,0.6446,0.3554,False,,,,1451.63,1390.38
2026,3,REG,DEN,LA,1594.74,1577.37,0.5849,0.4151,False,,,,1594.74,1577.37
2026,3,REG,CHI,PHI,1531.36,1556.38,0.5247,0.4753,False,,,,1531.36,1556.38
