season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,7,REG,CHI,NE,1549.55,1578.03,0.5197,0.4803,False,,,,1549.55,1578.03
2026,7,REG,NO,PIT,1439.0,1537.59,0.4196,0.5804,False,,,,1439.0,1537.59
2026,7,REG,ATL,SF,1477.6,1582.67,0.4105,0.5895,False,,,,1477.6,1582.67
2026,7,REG,BAL,CIN,1537.95,1485.21,0.6333,0.3667,False,,,,1537.95,1485.21
2026,7,REG,CAR,TB,1439.56,1458.75,0.5331,0.4669,False,,,,1439.56,1458.75
2026,7,REG,HOU,NYG,1559.09,1440.1,0.7166,0.2834,False,,,,1559.09,1440.1
2026,7,REG,MIN,IND,1561.0,1452.54,0.7042,0.2958,False,,,,1561.0,1452.54
2026,7,REG,NYJ,MIA,1423.83,1452.32,0.5197,0.4803,False,,,,1423.83,1452.32
2026,7,REG,TEN,CLE,1370.06,1425.83,0.4805,0.5195,False,,,,1370.06,1425.83
2026,7,REG,ARI,DEN,1428.22,1570.69,0.3596,0.6404,False,,,,1428.22,1570.69
2026,7,REG,DET,GB,1556.34,1503.0,0.6341,0.3659,False,,,,1556.34,1503.0
2026,7,REG,LV,LA,1412.79,1553.93,0.3613,0.6387,False,,,,1412.79,1553.93
2026,7,REG,SEA,KC,1658.13,1505.32,0.7545,0.2455,False,,,,1658.13,1505.32
2026,7,REG,PHI,DAL,1569.14,1454.01,0.7121,0.2879,False,,,,1569.14,1454.01
