season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,1,REG,SEA,NE,1643.35,1592.82,0.6304,0.3696,True,13.0,10.0,1.0,1658.13,1578.03
2026,1,REG,LA,SF,1577.37,1559.23,0.586,0.414,True,7.0,27.0,0.0,1553.93,1582.67
2026,1,REG,CAR,CHI,1457.76,1531.36,0.4549,0.5451,True,37.0,59.0,0.0,1439.56,1549.55
2026,1,REG,CIN,TB,1467.06,1476.89,0.5465,0.4535,True,33.0,27.0,1.0,1485.21,1458.75
2026,1,REG,DET,NO,1543.71,1451.63,0.6842,0.3158,True,31.0,30.0,1.0,1556.34,1439.0
2026,1,REG,HOU,BUF,1581.66,1579.0,0.5642,0.4358,True,31.0,36.0,0.0,1559.09,1601.57
2026,1,REG,IND,BAL,1472.33,1518.16,0.4948,0.5052,True,23.0,41.0,0.0,1452.54,1537.95
2026,1,REG,JAX,CLE,1545.27,1437.71,0.7031,0.2969,True,34.0,10.0,1.0,1557.14,1425.83
2026,1,REG,PIT,ATL,1521.57,1493.61,0.5996,0.4004,True,20.0,13.0,1.0,1537.59,1477.6
2026,1,REG,TEN,NYJ,1391.9,1401.98,0.5461,0.4539,True,10.0,23.0,0.0,1370.06,1423.83
2026,1,REG,LAC,ARI,1533.59,1398.83,0.7347,0.2653,True,14.0,26.0,0.0,1504.2,1428.22
2026,1,REG,LV,MIA,1390.38,1474.73,0.4396,0.5604,True,27.0,13.0,1.0,1412.79,1452.32
2026,1,REG,MIN,GB,1544.87,1519.13,0.5965,0.4035,True,39.0,22.0,1.0,1561.0,1503.0
2026,1,REG,PHI,WAS,1556.38,1466.83,0.681,0.319,True,24.0,22.0,1.0,1569.14,1454.07
2026,1,REG,NYG,DAL,1419.34,1474.77,0.481,0.519,True,28.0,20.0,1.0,1440.1,1454.01
2026,1,REG,KC,DEN,1481.27,1594.74,0.3989,0.6011,True,31.0,10.0,1.0,1505.32,1570.69
