season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,11,REG,HOU,IND,1559.09,1452.54,0.7019,0.2981,False,,,,1559.09,1452.54
2026,11,REG,BUF,MIA,1601.57,1452.32,0.7507,0.2493,False,,,,1601.57,1452.32
2026,11,REG,CAR,BAL,1439.56,1537.95,0.4198,0.5802,False,,,,1439.56,1537.95
2026,11,REG,CHI,NO,1549.55,1439.0,0.7067,0.2933,False,,,,1549.55,1439.0
2026,11,REG,DAL,TEN,1454.01,1370.06,0.674,0.326,False,,,,1454.01,1370.06
2026,11,REG,DET,TB,1556.34,1458.75,0.691,0.309,False,,,,1556.34,1458.75
2026,11,REG,KC,ARI,1505.32,1428.22,0.6652,0.3348,False,,,,1505.32,1428.22
2026,11,REG,NYG,JAX,1440.1,1557.14,0.3939,0.6061,False,,,,1440.1,1557.14
2026,11,REG,LAC,NYJ,1504.2,1423.83,0.6694,0.3306,False,,,,1504.2,1423.83
2026,11,REG,DEN,LV,1570.69,1412.79,0.7598,0.2402,False,,,,1570.69,1412.79
2026,11,REG,PHI,PIT,1569.14,1537.59,0.6046,0.3954,False,,,,1569.14,1537.59
2026,11,REG,SF,MIN,1582.67,1561.0,0.5909,0.4091,False,,,,1582.67,1561.0
2026,11,REG,WAS,CIN,1454.07,1485.21,0.5159,0.4841,False,,,,1454.07,1485.21
