season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,2,REG,BUF,DET,1579.0,1543.71,0.6097,0.3903,False,,,,1579.0,1543.71
2026,2,REG,ATL,CAR,1493.61,1457.76,0.6105,0.3895,False,,,,1493.61,1457.76
2026,2,REG,BAL,NO,1518.16,1451.63,0.6516,0.3484,False,,,,1518.16,1451.63
2026,2,REG,CHI,MIN,1531.36,1544.87,0.5412,0.4588,False,,,,1531.36,1544.87
2026,2,REG,HOU,CIN,1581.66,1467.06,0.7115,0.2885,False,,,,1581.66,1467.06
2026,2,REG,NE,PIT,1592.82,1521.57,0.6577,0.3423,False,,,,1592.82,1521.57
2026,2,REG,NYJ,GB,1401.98,1519.13,0.3938,0.6062,False,,,,1401.98,1519.13
2026,2,REG,TB,CLE,1476.89,1437.71,0.615,0.385,False,,,,1476.89,1437.71
2026,2,REG,TEN,PHI,1391.9,1556.38,0.331,0.669,False,,,,1391.9,1556.38
2026,2,REG,DEN,JAX,1594.74,1545.27,0.6289,0.3711,False,,,,1594.74,1545.27
2026,2,REG,LAC,LV,1533.59,1390.38,0.7441,0.2559,False,,,,1533.59,1390.38
2026,2,REG,ARI,SEA,1398.83,1643.35,0.2378,0.7622,False,,,,1398.83,1643.35
2026,2,REG,DAL,WAS,1474.77,1466.83,0.5717,0.4283,False,,,,1474.77,1466.83
2026,2,REG,SF,MIA,1559.23,1474.73,0.6747,0.3253,False,,,,1559.23,1474.73
2026,2,REG,KC,IND,1481.27,1472.33,0.5731,0.4269,False,,,,1481.27,1472.33
2026,2,REG,LA,NYG,1577.37,1419.34,0.76,0.24,False,,,,1577.37,1419.34
