season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,17,REG,CIN,BAL,1485.21,1537.95,0.4848,0.5152,False,,,,1485.21,1537.95
2026,17,REG,ATL,NO,1477.6,1439.0,0.6142,0.3858,False,,,,1477.6,1439.0
2026,17,REG,CAR,SEA,1439.56,1658.13,0.2659,0.7341,False,,,,1439.56,1658.13
2026,17,REG,CLE,IND,1425.83,1452.54,0.5223,0.4777,False,,,,1425.83,1452.54
2026,17,REG,DAL,NYG,1454.01,1440.1,0.5801,0.4199,False,,,,1454.01,1440.1
2026,17,REG,JAX,WAS,1557.14,1454.07,0.6977,0.3023,False,,,,1557.14,1454.07
2026,17,REG,LAC,KC,1504.2,1505.32,0.5588,0.4412,False,,,,1504.2,1505.32
2026,17,REG,MIA,BUF,1452.32,1601.57,0.3506,0.6494,False,,,,1452.32,1601.57
2026,17,REG,NE,DEN,1578.03,1570.69,0.5708,0.4292,False,,,,1578.03,1570.69
2026,17,REG,NYJ,MIN,1423.83,1561.0,0.3666,0.6334,False,,,,1423.83,1561.0
2026,17,REG,TB,LA,1458.75,1553.93,0.4243,0.5757,False,,,,1458.75,1553.93
2026,17,REG,TEN,PIT,1370.06,1537.59,0.3271,0.6729,False,,,,1370.06,1537.59
2026,17,REG,ARI,LV,1428.22,1412.79,0.5822,0.4178,False,,,,1428.22,1412.79
2026,17,REG,CHI,DET,1549.55,1556.34,0.5508,0.4492,False,,,,1549.55,1556.34
2026,17,REG,SF,PHI,1582.67,1569.14,0.5795,0.4205,False,,,,1582.67,1569.14
2026,17,REG,GB,HOU,1503.0,1559.09,0.48,0.52,False,,,,1503.0,1559.09
