season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,13,REG,LA,KC,1553.93,1505.32,0.6278,0.3722,False,,,,1553.93,1505.32
2026,13,REG,ATL,DET,1477.6,1556.34,0.4476,0.5524,False,,,,1477.6,1556.34
2026,13,REG,CHI,JAX,1549.55,1557.14,0.5496,0.4504,False,,,,1549.55,1557.14
2026,13,REG,CLE,CIN,1425.83,1485.21,0.4753,0.5247,False,,,,1425.83,1485.21
2026,13,REG,NO,GB,1439.0,1503.0,0.4687,0.5313,False,,,,1439.0,1503.0
2026,13,REG,NYG,SF,1440.1,1582.67,0.3594,0.6406,False,,,,1440.1,1582.67
2026,13,REG,TB,LAC,1458.75,1504.2,0.4953,0.5047,False,,,,1458.75,1504.2
2026,13,REG,TEN,WAS,1370.06,1454.07,0.4401,0.5599,False,,,,1370.06,1454.07
2026,13,REG,ARI,PHI,1428.22,1569.14,0.3616,0.6384,False,,,,1428.22,1569.14
2026,13,REG,DEN,MIA,1570.69,1452.32,0.7159,0.2841,False,,,,1570.69,1452.32
2026,13,REG,MIN,CAR,1561.0,1439.56,0.7195,0.2805,False,,,,1561.0,1439.56
2026,13,REG,NE,BUF,1578.03,1601.57,0.5268,0.4732,False,,,,1578.03,1601.57
2026,13,REG,PIT,HOU,1537.59,1559.09,0.5298,0.4702,False,,,,1537.59,1559.09
2026,13,REG,SEA,DAL,1658.13,1454.01,0.805,0.195,False,,,,1658.13,1454.01
