season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,10,REG,NYG,WAS,1440.1,1454.07,0.5405,0.4595,False,,,,1440.1,1454.07
2026,10,REG,DET,NE,1556.34,1578.03,0.5295,0.4705,False,,,,1556.34,1578.03
2026,10,REG,ATL,KC,1477.6,1505.32,0.5208,0.4792,False,,,,1477.6,1505.32
2026,10,REG,CLE,HOU,1425.83,1559.09,0.3719,0.6281,False,,,,1425.83,1559.09
2026,10,REG,GB,MIN,1503.0,1561.0,0.4773,0.5227,False,,,,1503.0,1561.0
2026,10,REG,IND,MIA,1452.54,1452.32,0.5608,0.4392,False,,,,1452.54,1452.32
2026,10,REG,NO,CAR,1439.0,1439.56,0.5596,0.4404,False,,,,1439.0,1439.56
2026,10,REG,NYJ,BUF,1423.83,1601.57,0.3143,0.6857,False,,,,1423.83,1601.57
2026,10,REG,TEN,JAX,1370.06,1557.14,0.3028,0.6972,False,,,,1370.06,1557.14
2026,10,REG,ARI,LA,1428.22,1553.93,0.3821,0.6179,False,,,,1428.22,1553.93
2026,10,REG,LV,SEA,1412.79,1658.13,0.237,0.763,False,,,,1412.79,1658.13
2026,10,REG,DAL,SF,1454.01,1582.67,0.3781,0.6219,False,,,,1454.01,1582.67
2026,10,REG,CIN,PIT,1485.21,1537.59,0.4854,0.5146,False,,,,1485.21,1537.59
2026,10,REG,BAL,LAC,1537.95,1504.2,0.6076,0.3924,False,,,,1537.95,1504.2
