season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,5,REG,DAL,TB,1454.01,1458.75,0.5537,0.4463,False,,,,1454.01,1458.75
2026,5,REG,JAX,PHI,1557.14,1569.14,0.5434,0.4566,False,,,,1557.14,1569.14
2026,5,REG,MIA,CIN,1452.32,1485.21,0.5134,0.4866,False,,,,1452.32,1485.21
2026,5,REG,NE,LV,1578.03,1412.79,0.7675,0.2325,False,,,,1578.03,1412.79
2026,5,REG,NO,MIN,1439.0,1561.0,0.3871,0.6129,False,,,,1439.0,1561.0
2026,5,REG,NYJ,CLE,1423.83,1425.83,0.5576,0.4424,False,,,,1423.83,1425.83
2026,5,REG,PIT,IND,1537.59,1452.54,0.6754,0.3246,False,,,,1537.59,1452.54
2026,5,REG,TEN,HOU,1370.06,1559.09,0.3004,0.6996,False,,,,1370.06,1559.09
2026,5,REG,WAS,NYG,1454.07,1440.1,0.5801,0.4199,False,,,,1454.07,1440.1
2026,5,REG,LAC,DEN,1504.2,1570.69,0.4651,0.5349,False,,,,1504.2,1570.69
2026,5,REG,ARI,DET,1428.22,1556.34,0.3788,0.6212,False,,,,1428.22,1556.34
2026,5,REG,GB,CHI,1503.0,1549.55,0.4937,0.5063,False,,,,1503.0,1549.55
2026,5,REG,SEA,SF,1658.13,1582.67,0.6631,0.3369,False,,,,1658.13,1582.67
2026,5,REG,ATL,BAL,1477.6,1537.95,0.4739,0.5261,False,,,,1477.6,1537.95
2026,5,REG,LA,BUF,1553.93,1601.57,0.4922,0.5078,False,,,,1553.93,1601.57
