season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,p_home_pre,p_away_pre,played,home_score,away_score,result,elo_home_post,elo_away_post
2026,6,REG,DEN,SEA,1570.69,1658.13,0.4353,0.5647,False,,,,1570.69,1658.13
2026,6,REG,JAX,HOU,1557.14,1559.09,0.5577,0.4423,False,,,,1557.14,1559.09
2026,6,REG,ATL,CHI,1477.6,1549.55,0.4573,0.5427,False,,,,1477.6,1549.55
2026,6,REG,CLE,BAL,1425.83,1537.95,0.4007,0.5993,False,,,,1425.83,1537.95
2026,6,REG,IND,TEN,1452.54,1370.06,0.6721,0.3279,False,,,,1452.54,1370.06
2026,6,REG,NE,NYJ,1578.03,1423.83,0.756,0.244,False,,,,1578.03,1423.83
2026,6,REG,NYG,NO,1440.1,1439.0,0.562,0.438,False,,,,1440.1,1439.0
2026,6,REG,PHI,CAR,1569.14,1439.56,0.7289,0.2711,False,,,,1569.14,1439.56
2026,6,REG,TB,PIT,1458.75,1537.59,0.4475,0.5525,False,,,,1458.75,1537.59
2026,6,REG,LA,ARI,1553.93,1428.22,0.7244,0.2756,False,,,,1553.93,1428.22
2026,6,REG,KC,LAC,1505.32,1504.2,0.562,0.438,False,,,,1505.32,1504.2
2026,6,REG,LV,BUF,1412.79,1601.57,0.3007,0.6993,False,,,,1412.79,1601.57
2026,6,REG,GB,DAL,1503.0,1454.01,0.6283,0.3717,False,,,,1503.0,1454.01
2026,6,REG,SF,WAS,1582.67,1454.07,0.7277,0.2723,False,,,,1582.67,1454.07
